session,blink_time_s,n_frames,peak_abs_ppd,peak_ppd_value,ppd_jitter_slice,amp_change_rel,motion_energy_max,motion_energy_mean,coh5,sm5,dev5,coh9,sm9,dev9,coh13,sm13,dev13,rb_coh9,rb_sm9,rb_dev9,global_ppd_median,global_ppd_std
hp_blink_20260617_190655,23.219000,16,0.283075,-0.283075,0.063103,0.100469,0.341219,0.171610,0.229580,0.765463,0.299924,0.247727,0.825966,0.299924,0.276009,0.856304,0.322326,0.075231,0.741151,0.101506,0.106593,0.460166
hp_blink_20260617_190655,24.703000,16,0.418001,-0.418001,0.040356,0.478099,0.323875,0.140295,0.285229,0.936766,0.304482,0.267413,0.937029,0.285384,0.291093,0.912503,0.319005,0.026635,0.148958,0.178810,0.106593,0.460166
hp_blink_20260617_190655,25.781000,16,0.284017,-0.284017,0.034192,0.168315,0.545330,0.199881,0.267532,0.934792,0.286194,0.278492,0.938359,0.296786,0.274535,0.925025,0.296786,0.060543,0.450263,0.134461,0.106593,0.460166
hp_blink_20260617_190655,26.969000,16,0.251821,-0.251821,0.042587,0.297337,0.915168,0.290747,0.317231,0.950788,0.333651,0.291639,0.892501,0.326767,0.263393,0.902155,0.291959,0.072069,0.469436,0.153523,0.106593,0.460166
hp_blink_20260617_190655,28.609000,16,0.484452,-0.484452,0.067693,0.139701,0.422855,0.152641,0.460105,0.871067,0.528208,0.392987,0.874509,0.449381,0.359162,0.882587,0.406942,0.066590,0.715167,0.093112,0.106593,0.460166
hp_blink_20260617_190655,30.891000,16,0.779883,-0.779883,0.381533,1.859624,1.449086,0.425817,0.002857,0.770227,0.003710,0.001762,0.144379,0.012204,0.008205,0.129509,0.063353,0.000000,0.000000,0.398304,0.106593,0.460166
hp_blink_20260617_190655,31.125000,16,0.779883,-0.779883,0.361704,0.399604,1.449086,0.432092,0.107173,0.662092,0.161870,0.046580,0.724838,0.064262,0.011641,0.633847,0.018366,0.000000,0.000000,0.196726,0.106593,0.460166
hp_blink_20260617_190655,33.281000,16,0.540618,-0.540618,0.029178,0.005482,0.320712,0.157380,0.557205,0.961178,0.579710,0.526248,0.943969,0.557484,0.517855,0.948571,0.545932,0.098187,0.732863,0.133977,0.106593,0.460166
hp_blink_20260617_190655,35.719000,16,0.500402,-0.500402,0.102072,0.437482,0.342319,0.209185,0.184080,0.903787,0.203676,0.188655,0.795169,0.237251,0.261388,0.805524,0.324495,0.004343,0.022360,0.194216,0.106593,0.460166
hp_blink_20260617_190655,37.031000,16,0.206101,0.206101,0.045254,0.075119,0.406546,0.215143,0.000073,0.929877,0.000079,0.008290,0.912433,0.009085,0.000072,0.912749,0.000079,0.037746,0.147871,0.255262,0.106593,0.460166
hp_blink_20260617_190655,38.141000,16,0.352903,0.352903,0.051386,0.191645,0.842315,0.215691,0.057172,0.958290,0.059660,0.035046,0.956168,0.036653,0.034024,0.928296,0.036653,0.000000,0.000000,0.079039,0.106593,0.460166
