session,blink_time_s,n_frames,peak_abs_ppd,peak_ppd_value,ppd_jitter_slice,amp_change_rel,motion_energy_max,motion_energy_mean,coh5,sm5,dev5,coh9,sm9,dev9,coh13,sm13,dev13,rb_coh9,rb_sm9,rb_dev9,global_ppd_median,global_ppd_std
hp_blink_20260617_190655,18.109000,16,0.926919,-0.926919,0.230096,0.040058,1.201015,0.529302,0.304096,0.567950,0.535428,0.225414,0.469319,0.480301,0.217284,0.534626,0.406422,0.000000,0.000000,0.415471,0.055748,0.541489
hp_blink_20260617_190655,19.906000,16,0.570614,-0.570614,0.264078,0.238312,0.451734,0.192976,0.262868,0.844403,0.311306,0.238762,0.744917,0.320521,0.206059,0.621247,0.331686,0.043475,0.760938,0.057133,0.055748,0.541489
hp_blink_20260617_190655,21.688000,16,0.334923,0.334923,0.118801,1.074189,0.363952,0.141835,0.158020,0.916577,0.172402,0.222775,0.890081,0.250286,0.172659,0.819688,0.210640,0.031410,0.852808,0.036831,0.055748,0.541489
hp_blink_20260617_190655,23.219000,16,0.283700,-0.283700,0.129776,0.020270,0.582786,0.226998,0.013666,0.553990,0.024669,0.128651,0.678145,0.189710,0.197615,0.735924,0.268526,0.005037,0.295713,0.017035,0.055748,0.541489
hp_blink_20260617_190655,24.703000,16,0.418001,-0.418001,0.040356,0.068691,0.378032,0.160791,0.240008,0.946263,0.253638,0.221988,0.946486,0.234539,0.248221,0.925644,0.268160,0.062594,0.826235,0.075758,0.055748,0.541489
hp_blink_20260617_190655,25.781000,16,0.284017,-0.284017,0.070227,0.532419,0.646742,0.299433,0.222308,0.944585,0.235349,0.233058,0.947616,0.245942,0.230271,0.936285,0.245942,0.000000,0.000000,0.226232,0.055748,0.541489
hp_blink_20260617_190655,26.969000,16,0.251821,-0.251821,0.042195,0.334540,1.101330,0.386358,0.270979,0.958179,0.282806,0.250715,0.908646,0.275922,0.221066,0.916850,0.241115,0.000000,0.000000,0.055560,0.055748,0.541489
hp_blink_20260617_190655,28.609000,16,0.484452,-0.484452,0.067326,0.453599,0.380303,0.150467,0.425059,0.890431,0.477364,0.356034,0.893356,0.398536,0.320358,0.899636,0.356097,0.035228,0.810328,0.043474,0.055748,0.541489
hp_blink_20260617_190655,30.891000,16,1.010592,1.010592,0.487706,1.709825,1.335193,0.498983,0.037931,0.804735,0.047135,0.010544,0.272879,0.038641,0.003770,0.097566,0.038641,0.000000,0.000000,0.246478,0.055748,0.541489
hp_blink_20260617_190655,31.125000,16,0.779883,-0.779883,0.326703,0.855540,1.335193,0.502950,0.151631,0.712840,0.212715,0.088190,0.766163,0.115107,0.047675,0.688837,0.069211,0.000000,0.000000,0.173350,0.055748,0.541489
hp_blink_20260617_190655,33.281000,16,0.540618,-0.540618,0.029178,0.636220,0.700859,0.347505,0.511417,0.967009,0.528865,0.482515,0.952384,0.506639,0.473449,0.956295,0.495087,0.005327,0.020541,0.259337,0.055748,0.541489
